Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb42380777f | ISBN 9782505010357 | ;42380777;monographie;texte imprimé;"La danse des petits papiers / Dillies, Hautière ; couleurs, Christophe Bouchard";Dillies, Renaud (1972-....). Auteur du texte | Hautière, Régis (1969-....). Auteur du texte | ;;Dargaud Bénélux (Bruxelles);2011;Code à barres commercial : EAN 9782505010357;;fre | français | ;"1 vol. (64 p.) : ill. en coul., couv. ill. en coul. ; 32 cm";
http://catalogue.bnf.fr/ark:/12148/cb42782437j | ISBN 9782364741263 | ;42782437;monographie;texte imprimé;Le calme de la nuit / Virginie Aladjidi, Caroline Pellissier, Emmanuelle Tchoukriel;Aladjidi, Virginie (1971-....). Auteur du texte | Pellissier, Caroline (1971-....). Auteur du texte | Tchoukriel, Emmanuelle. Auteur du texte | ;;T. Magnier (Paris);2012;Code à barres commercial : EAN 9782364741263;;fre | français | ;"1 vol. (non paginé [16] p.) : ill. en coul., couv. ill. en coul. ; 19 x 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb42115007r | ISBN 9782800145594 | ;42115007;monographie;texte imprimé;Le cadeau poilu / Pierre Bailly, Céline Fraipont;Bailly, Pierre (1970-....). Auteur du texte | Fraipont, Céline (1974-....). Auteur du texte | ;;Dupuis (Marcinelle);2009;Collection : Puceron | Code à barres commercial : EAN 9782800145594 | ;;fre | français | ;"1 vol. (30 p.) : tout en ill. en coul., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb469496177 | ISBN 9782714312563 | ;46949617;monographie;texte imprimé;"Bambou-vert : anthologie de contes de Chine / [réunie et traduite par] Blanche Chia-Ping Chiu ; avant-propos de Bernadette Bricout";;Chiu, Chia-Ping Blanche (1973-....). Éditeur scientifique | Bricout, Bernadette (1947-....). Préfacier | ;Éditions Corti (Paris);2022;"Collection : Collection Merveilleux ; n° 58 | Code à barres commercial : EAN 9782714312563 | ";;fre | français | ;"1 vol. (291 p.) ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb468917779 | ISBN 9782352895053 | ;46891777;monographie;texte imprimé;"Harold et le crayon violet / de Crockett Johnson ; traduction de Lou Gonse";Johnson, Crockett (1906-1975). Auteur du texte;Gonse, Lou (1988-....). Traducteur;Éditions Memo (Nantes);2021;Code à barres commercial : EAN 9782352895053;;fre | français | ;"1 vol. (non paginé [62] p.) : ill. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb46753687t | ISBN 9791035204181 | ;46753687;monographie;texte imprimé;Le grand tour. Livre 1 / texte et illustrations, Sandrine Bonini;Bonini, Sandrine (1978-....). Auteur du texte;;Éditions Thierry Magnier (Paris);2021;Code à barres commercial : EAN 9791035204181;;fre | français | ;"1 vol. (312 p.) : ill. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb465990575 | ISBN 9782361936136 | ;46599057;monographie;texte imprimé;ABC de la nature / Bernadette Gervais;Gervais, Bernadette (1959-....). Auteur du texte;;les Grandes personnes (Paris);2020;Code à barres commercial : EAN 9782361936136;;fre | français | ;"1 vol. (non paginé [56] p.) : ill. en coul. ; 38 cm";
http://catalogue.bnf.fr/ark:/12148/cb466900277 | ISBN 9782075143684 | ;46690027;monographie;texte imprimé;L'âge du fond des verres / Claire Castillon;Castillon, Claire (1975-....). Auteur du texte;;Gallimard jeunesse (Paris);2021;Code à barres commercial : EAN 9782075143684;;fre | français | ;"1 vol. (163 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb42498017z | ISBN 9782505012139 | ;42498017;monographie;texte imprimé;Monster. Volume 5 / Naoki Urasawa;Urasawa, Naoki (1960-....). Auteur du texte;;Big Kana (Bruxelles);2011;Code à barres commercial : EAN 9782505012139;;fre | français | ;"1 vol. (402 p.) : ill. en noir et en coul., jaquette ill. en coul. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb422518070 | ISBN 9782211203128 | ;42251807;monographie;texte imprimé;"Les exoterriens / Pascale Chadenat ; [illustrations de Gabriel Gay]";Chadenat, Pascale. Auteur du texte;Gay, Gabriel (1981-....). Illustrateur;l'École des loisirs (Paris);2010;Collection : Neuf | Code à barres commercial : EAN 9782211203128 | ;;fre | français | ;"1 vol. (116 p.) : couv. ill. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb42511747n | ISBN 9782877677110 | ;42511747;monographie;texte imprimé;"Six hommes / David McKee ; [texte traduit de l'anglais par Élisabeth Duval]";McKee, David (1935-2022). Auteur du texte;Duval, Élisabeth (1952-....). Traducteur;Kaléidoscope (Paris);2011;Code à barres commercial : EAN 9782877677110;;fre | français | ;"1 vol. (non paginé [36] p.) : ill., couv. ill. ; 19 x 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb42528997n | ISBN 9782211207362 | ;42528997;monographie;texte imprimé;Le journal d'Aurore / Marie Desplechin;Desplechin, Marie (1959-....). Auteur du texte;;l'École des loisirs (Paris);2011;Code à barres commercial : EAN 9782211207362;;fre | français | ;"1 vol. (559 p.) : couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb46721157d | ISBN 9782408016388 | ;46721157;monographie;texte imprimé;"L'étonnant (mais pas miraculeux) voyage de Freddie Yates : ou comment une série de plans bizarres peut conduire au succès / Jenny Pearson ; traduit de l'anglais (Royaume-Uni) par Maud Ortalda";Pearson, Jenny (1981-....). Auteur du texte;Ortalda, Maud. Traducteur;Milan (Toulouse);2021;Code à barres commercial : EAN 9782408016388;;fre | français | ;"1 vol. (266 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb46776467s | ISBN 9782080233929 | ;46776467;monographie;texte imprimé;Le chant de Loon / Kochka;Kochka (1964-....). Auteur du texte;;Flammarion jeunesse (Paris);2021;Code à barres commercial : EAN 9782080233929;;fre | français | ;"1 vol. (190 p.) : ill. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb46548567k | ISBN 9782889085033 | ;46548567;monographie;texte imprimé;Le dictateur / Ximo Abadia;Abadía, Ximo (1983-....). Auteur du texte;;la Joie de lire (Genève);2020;Code à barres commercial : EAN 9782889085033;;fre | français | ;"1 vol. (non paginé [47] p.) : ill. en coul. ; 28 cm";
http://catalogue.bnf.fr/ark:/12148/cb46651057k | ISBN 9782211301909 | ;46651057;monographie;texte imprimé;"Winnie et la Grande guerre / Lindsay Mattick, Josh Greenhut ; traduit de l'anglais (États-Unis) par Caroline Guilleminot ; illustré par Sophie Blackall";Mattick, Lindsay. Auteur du texte | Greenhut, Josh. Auteur du texte | ;Guilleminot, Caroline (1957-....). Traducteur | Blackall, Sophie (1970-....). Illustrateur | ;l'École des loisirs (Paris);2020;Collection : Neuf | Code à barres commercial : EAN 9782211301909 | ;;fre | français | ;"1 vol. (315 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb46521367x | ISBN 9791030702989 | ;46521367;monographie;texte imprimé;"Banlieue Crongton / Alex Wheatle ; traduit de l'anglais par Gaëlle Rey";Wheatle, Alex (1963-....). Auteur du texte;Rey, Gaëlle. Traducteur;Au diable Vauvert (Vauvert);2020;Code à barres commercial : EAN 9791030702989;;fre | français | ;"1 vol. (365 p.) ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb469206974 | ISBN 9782205089691 | ;46920697;monographie;texte imprimé;"La jeune femme et la mer / Catherine Meurisse ; mise en couleur, Isabelle Merlet";Meurisse, Catherine (1980-....). Auteur du texte;;Dargaud (Paris);2021;Code à barres commercial : EAN 9782205089691;;fre | français | ;"1 vol. (114 p.) : ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb46604427f | ISBN 9782211307758 | ;46604427;monographie;texte imprimé;Un peu, beaucoup / Olivier Tallec;Tallec, Olivier (1970-....). Auteur du texte;;Pastel (Bruxelles) | l'École des loisirs (Paris) | ;2020;Code à barres commercial : EAN 9782211307758;;fre | français | ;"1 vol. (non paginé [29] p.) : ill. en coul. ; 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb468111174 | ISBN 9782376972211 | ;46811117;monographie;texte imprimé;"Le terrible seigneur des ténèbres. Livre premier / Dianna Wynne Jones ; traduit de l'anglais (Royaume-Uni) par Magali Mangin";Jones, Diana Wynne (1934-2011). Auteur du texte;Mangin, Magali. Traducteur;Romans Ynnis (Paris);2021;Code à barres commercial : EAN 9782376972211;;fre | français | ;"1 vol. (377 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb46838387z | ISBN 9782809715699 | ;46838387;monographie;texte imprimé;Cendrillons / Isabelle Genlis;Genlis, Isabelle. Auteur du texte;;Éditions Picquier (Arles);2021;Code à barres commercial : EAN 9782809715699;;fre | français | ;"1 vol. (187 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb45833197c | ISBN 9782081490031 | ;45833197;monographie;texte imprimé;"Zoologie illustrée : collection Van Berkhey / Carmen Soria ; [traduit de l'espagnol par Andrés Guevara D'Angelo]";Soria, Carmen (19..-....). Auteur du texte;Guevara d'Angelo, Andrés. Traducteur;Flammarion jeunesse (Paris);2019;Code à barres commercial : EAN 9782081490031;Le Francq Van Berkhey, Joannes (1729-1812) -- Collections de sciences naturelles | Illustration zoologique -- Espagne -- 18e siècle | ;fre | français | ;"1 vol. (47 p.) : ill. en coul. ; 37 cm + 10 planches détachables en couleurs";
http://catalogue.bnf.fr/ark:/12148/cb45777577g | ISBN 9782505071365 | ;45777577;monographie;texte imprimé;Le voyage de Kuro : histoire d'une itinérante. 7 / Satoko Kiyuduki;Kiyuzuki, Satoko. Auteur du texte;;Kana (Bruxelles);2019;Code à barres commercial : EAN 9782505071365;;fre | français | ;"1 vol. (143 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb456506973 | ISBN 9782747065214 | ;45650697;monographie;texte imprimé;"Autour de Jupiter / Gary D. Schmidt ; traduit de l'anglais (États-Unis) par Dominique Kugler";Schmidt, Gary D. (1957-....). Auteur du texte;Kugler, Dominique (1954-....). Traducteur;Bayard (Montrouge);2019;Code à barres commercial : EAN 9782747065214;;fre | français | ;"1 vol. (210 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb45595107s | ISBN 9782377310173 | ;45595107;monographie;texte imprimé;Les riches heures de Jacominus Gainsborough / Rébecca Dautremer;Dautremer, Rébecca (1971-....). Auteur du texte;;Sarbacane (Paris);2018;Collection : Collection dirigée par Emmanuelle Beulque | Code à barres commercial : EAN 9782377310173 | ;;fre | français | ;"1 vol. (non paginé [45] p.) : ill. en coul. ; 34 cm";
http://catalogue.bnf.fr/ark:/12148/cb451168575 | ISBN 9782070582679 | ;45116857;monographie;texte imprimé;"Mon père est parti à la guerre / John Boyne ; traduit de l'anglais (Irlande) par Catherine Gibert";Boyne, John (1971-....). Auteur du texte;Gibert, Catherine. Traducteur;Gallimard jeunesse (Paris);2016;"Collection : Folio junior ; 1772 | Code à barres commercial : EAN 9782070582679 | ";;fre | français | ;"1 vol. (245 p.) ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb45656507g | ISBN 9782747063371 | ;45656507;monographie;texte imprimé;"Dans la vallée des rêves / Nikki Loftin ; traduit de l'anglais (États-Unis) par Christine Bouard-Schwartz";Loftin, Nikki. Auteur du texte;Bouard-Schwartz, Christine. Traducteur;Bayard (Montrouge);2019;Code à barres commercial : EAN 9782747063371;;fre | français | ;"1 vol. (287 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb458427672 | ISBN 9782075093668 | ;45842767;monographie;texte imprimé;"Quelqu'un m'attend derrière la neige / Timothée de Fombelle ; illustré par Thomas Campi";Fombelle, Timothée de (1973-....). Auteur du texte;Campi, Thomas. Illustrateur;Gallimard jeunesse (Paris);2019;Code à barres commercial : EAN 9782075093668;;fre | français | ;"1 vol. (51 p.) : ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb46514517f | ISBN 9782377312252 | ;46514517;monographie;texte imprimé;Bordeterre / Julia Thévenot;Thévenot, Julia (1990-....). Auteur du texte;;Éditions Sarbacane (Paris);2020;Collection : X' | Code à barres commercial : EAN 9782377312252 | ;;fre | français | ;"1 vol. (520 p.) ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb45483347q | ISBN 9782211236836 | ;45483347;monographie;texte imprimé;Les étrangers / Pessan, Solminihac;Pessan, Éric (1970-....). Auteur du texte | Solminihac, Olivier de (1976-....). Auteur du texte | ;;l'École des loisirs (Paris);2018;Collection : Médium | Code à barres commercial : EAN 9782211236836 | ;;fre | français | ;"1 vol. (124 p.) ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb451212476 | ISBN 9782355929922 | ;45121247;monographie;texte imprimé;Bride stories. 8 / Kaoru Mori;Mori, Kaoru (1978-....). Auteur du texte;;Ki-oon (Paris);2016;Code à barres commercial : EAN 9782355929922;;fre | français | ;"1 vol. (190 p.) : ill. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb45591767b | ISBN 9782733862445 | ;45591767;monographie;texte imprimé;"Twister / Juliette Forrest ; traduit de l'anglais par Julie Lopez";Forrest, Juliette. Auteur du texte;Lopez, Julie. Traducteur;Auzou (Paris);2018;Code à barres commercial : EAN 9782733862445;;fre | français | ;"1 vol. (340 p.) ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb45238567q | ISBN 9782889083527 | ;45238567;monographie;texte imprimé;"Hors-champ / Chiara Carminati ; traduit de l'italien par Bernard Friot";Carminati, Chiara (1971-....). Auteur du texte;Friot, Bernard (1951-....). Traducteur;la Joie de lire (Genève);2017;Collection : Encrage | Code à barres commercial : EAN 9782889083527 | ;;fre | français | ;"1 vol. (172 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb455853670 | ISBN 9782366243581 | ;45585367;monographie;texte imprimé;L'échappée / Mari Kanstad Johnsen;;Johnsen, Mari Kanstad (1981-....). Illustrateur;Cambourakis (Paris);2018;Code à barres commercial : EAN 9782366243581;;fre | français | ;"1 vol. (non paginé [34] p.) : tout en ill. en coul. ; 26 cm";
http://catalogue.bnf.fr/ark:/12148/cb45276767m | ISBN 9782352893394 | ;45276767;monographie;texte imprimé;Ploc / Mélanie Rutten;Rutten, Mélanie. Auteur du texte;;Éditions MeMo (Nantes);2017;Code à barres commercial : EAN 9782352893394;;fre | français | ;"1 vol. (non paginé [14] p.) : ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb466384678 | ISBN 9782360121304 | ;46638467;monographie;texte imprimé;Chiffres en friche / Agnès Rosenstiehl;Rosenstiehl, Agnès (1941-....). Auteur du texte;;la Ville brûle (Montreuil);2020;Code à barres commercial : EAN 9782360121304;;fre | français | ;"1 vol. (non paginé [45] p.) : ill. en coul. ; 26 cm";
http://catalogue.bnf.fr/ark:/12148/cb452068872 | ISBN 9782366242522 | ;45206887;monographie;texte imprimé;"L'usine à ballons / Mari Kanstad Johnsen ; traduit du norvégien par Marie Valera";Johnsen, Mari Kanstad (1981-....). Auteur du texte;Valera, Marie (1993-....). Traducteur;Cambourakis (Paris);2017;Code à barres commercial : EAN 9782366242522;;fre | français | ;"1 vol. (non paginé [36] p.) : ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb42386277h | ISBN 9782358510523 | ;42386277;monographie;texte imprimé;"Dans la forêt du paresseux / Anouck Boisrobert, Louis Rigaud ; texte de Sophie Strady";Boisrobert, Anouck (1985-....). Auteur du texte | Rigaud, Louis (1985-....). Auteur du texte | Strady, Sophie (1966-....). Auteur du texte | ;;Hélium (Paris);2010;Code à barres commercial : EAN 9782358510523;;fre | français | ;"1 vol. (non paginé [12] p.) : ill. en coul., couv. ill. en coul. ; 15 x 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb454871772 | ISBN 9782366243277 | ;45487177;monographie;texte imprimé;"Le dangereux voyage / Tove Jansson ; traduit du suédois par Catherine Renaud";Jansson, Tove (1914-2001). Auteur du texte;Renaud, Catherine (1974-....). Traducteur;Cambourakis (Paris);2018;Code à barres commercial : EAN 9782366243277;;fre | français | ;"1 vol. (non paginé [28] p.) : ill. en coul. ; 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb45268477c | ISBN 9791035200121 | ;45268477;monographie;texte imprimé;"De l'autre côté : roman / Stefan Casta ; traduit du suédois par Agneta Ségol";Casta, Stefan (1949-....). Auteur du texte;Segol, Agneta (1943-....). Traducteur;Éditions Thierry Magnier (Paris);2017;Code à barres commercial : EAN 9791035200121;;fre | français | ;"1 vol. (385 p.) ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb45333757x | ISBN 9791023509106 | ;45333757;monographie;texte imprimé;"Voyage à Zorgamazoo / Robert Paul Weston ; traduit de l'anglais (Canada) par Rosalind Elland-Goldsmith";Weston, Robert Paul (1975-....). Auteur du texte;Elland-Goldsmith, Rosalind (1980-....). Traducteur;Seuil (Paris);2017;Code à barres commercial : EAN 9791023509106;;fre | français | ;"1 vol. (270 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb453765975 | ISBN 9782361934729 | ;45376597;monographie;texte imprimé;La noisette / Anne-Florence Lemasson, Dominique Ehrhard;Lemasson, Anne-Florence. Auteur du texte | Ehrhard, Dominique (1958-....). Auteur du texte | ;;les Grandes personnes (Paris);2017;Code à barres commercial : EAN 9782361934729;;fre | français | ;"1 vol. (non paginé [13] p.) : ill. en coul. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb458680779 | ISBN 9782401032903 | ;45868077;monographie;texte imprimé;"Le journal de Nisha / Veera Hiranandani ; traduit de l'anglais par Jean Pouvelle";Hiranandani, Veera. Auteur du texte;Pouvelle, Jean. Traducteur;Hatier (Paris);2019;Code à barres commercial : EAN 9782401032903;;fre | français | ;"1 vol. (318 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb45355087t | ISBN 9782745994851 | ;45355087;monographie;texte imprimé;"Paroles de baskets : et autres objets bavards / Bernard Friot ; illustré par Charlotte Fréreau";Friot, Bernard (1951-....). Auteur du texte;Frereau, Charlotte. Illustrateur;Milan (Toulouse);2017;Code à barres commercial : EAN 9782745994851;;fre | français | ;"1 vol. (88 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb45718637h | ISBN 9782889084739 | ;45718637;monographie;texte imprimé;"Les couleurs du ghetto / Aline Sax ; [illustrations de] Caryl Strzelecki ; traduit du néerlandais par Maurice Lomré";Sax, Aline (1984-....). Auteur du texte;Strzelecki, Caryl (1960-....). Illustrateur | Lomré, Maurice. Traducteur | ;la Joie de lire (Genève);2019;Collection : Encrage | Code à barres commercial : EAN 9782889084739 | ;;fre | français | ;"1 vol. (169 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb45519557r | ISBN 9782732485027 | ;45519557;monographie;texte imprimé;"La mer ! / Piotr Karski ; traduit du polonais par Lydia Waleryszak";Karski, Piotr. Auteur du texte;Waleryszak, Lydia (1977-....). Traducteur;de La Martinière jeunesse (Paris);2018;Code à barres commercial : EAN 9782732485027;Mer | Écologie marine | ;fre | français | ;"1 vol. (non paginé [ca 220] p.) : ill. en coul. ; 21 x 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb457517775 | ISBN 9782211239912 | ;45751777;monographie;texte imprimé;Les trésors de Mousse / Claire Lebourg;Lebourg, Claire (1985-....). Auteur du texte;;l'École des loisirs (Paris);2019;Collection : Mouche | Code à barres commercial : EAN 9782211239912 | ;;fre | français | ;"1 vol. (67 p.) : ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb45193687g | ISBN 9782211227452 | ;45193687;monographie;texte imprimé;"George / Alex Gino ; traduit de l'anglais (États-Unis) par Francis Kerline";Gino, Alex. Auteur du texte;Kerline, Francis (1956-....). Traducteur;l'École des loisirs (Paris);2017;Code à barres commercial : EAN 9782211227452;;fre | français | ;"1 vol. (172 p.) ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb45296417n | ISBN 9782075073899 | ;45296417;monographie;texte imprimé;"Wadjda et le vélo vert / Haifaa Al Mansour ; traduit de l'anglais par Faustina Fiore";Mansour, Haifaa al- (1974-....). Auteur du texte;Fiore, Faustina (1976-....). Traducteur;Gallimard jeunesse (Paris);2017;Code à barres commercial : EAN 9782075073899;;fre | français | ;"1 vol. (338 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb45703957j | ISBN 9782226441232 | ;45703957;monographie;texte imprimé;"Le jardin d'Evan / Brian Lies ; [traduit par Françoise de Guibert]";Lies, Brian. Auteur du texte;Guibert, Françoise de (1970-....). Traducteur;Albin Michel jeunesse (Paris);2019;Code à barres commercial : EAN 9782226441232;;fre | français | ;"1 vol. (non paginé [40] p.) : ill. en coul. ; 25 x 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb45363547p | ISBN 9782373801095 | ;45363547;monographie;texte imprimé;"Contes et légendes d'Irlande / réunis et traduits par Marilyn Plénard ; illustrations de Susanne Strassmann";;Plénard, Marilyn (1959-....). Éditeur scientifique | Strassmann, Susanne (1964-....). Illustrateur | ;Flies France (Paris);2017;Collection : Aux origines du monde | Code à barres commercial : EAN 9782373801095 | ;;fre | français | ;"1 vol. (222 p.) : ill. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb45645717w | ISBN 9782081436572 | ;45645717;monographie;texte imprimé;Miss Crampon / Claire Castillon;Castillon, Claire (1975-....). Auteur du texte;;Flammarion jeunesse (Paris);2019;Code à barres commercial : EAN 9782081436572;;fre | français | ;"1 vol. (202 p.) ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb45265817w | ISBN 9782369814696 | ;45265817;monographie;texte imprimé;Les petites victoires / Yvon Roy;Roy, Yvon (1966-....). Auteur du texte;;Rue de Sèvres (Paris);2017;Code à barres commercial : EAN 9782369814696;;fre | français | ;"1 vol. (150 p.) : ill. ; 26 cm";
http://catalogue.bnf.fr/ark:/12148/cb45569457h | ISBN 9782877679732 | ;45569457;monographie;texte imprimé;"Ou alors préfèrerais-tu / John Burningham ; [texte traduit de l'anglais par Camille Guénot]";Burningham, John (1936-2019). Auteur du texte;Guénot, Camille. Traducteur;Kaléidoscope (Paris);2018;Code à barres commercial : EAN 9782877679732;;fre | français | ;"1 vol. (non paginé [32] p.) : ill. en coul. ; 31 cm";
http://catalogue.bnf.fr/ark:/12148/cb45869987b | ISBN 9782211302500 | ;45869987;monographie;texte imprimé;"Des brioches sur les oreilles / Agnès Mathieu-Daudé ; illustrations d'Olivier Tallec";Mathieu-Daudé, Agnès (1975-....). Auteur du texte;Tallec, Olivier (1970-....). Illustrateur;l'École des loisirs (Paris);2020;Collection : Mouche | Code à barres commercial : EAN 9782211302500 | ;;fre | français | ;"1 vol. (37 p.) : ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb457580172 | ISBN 9782365450461 | ;45758017;monographie;texte imprimé;L'alpinisme : tu connais ? / un livre de Catherine Destivelle;Destivelle, Catherine (1960-....). Auteur du texte;;Éditions du Mont-Blanc (Les Houches);2019;Code à barres commercial : EAN 9782365450461;Alpinisme;fre | français | ;"1 vol. (127 p.) : ill. en coul. ; 26 cm";
http://catalogue.bnf.fr/ark:/12148/cb45759977n | ISBN 9782377312757 | ;45759977;monographie;texte imprimé;Falalalala / Émilie Chazerand;Chazerand, Émilie (1983-....). Auteur du texte;;Éditions Sarbacane (Paris);2019;Collection : Exprim' | Code à barres commercial : EAN 9782377312757 | ;;fre | français | ;"1 vol. (412 p.) : ill. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb453516776 | ISBN 9782070580224 | ;45351677;monographie;texte imprimé;"Le secret du nom : et autres contes / choisis, racontés et présentés par Muriel Bloch ; illustrés par Margaux Othats";Bloch, Muriel (1954-....). Auteur du texte;Othats, Margaux (1989-....). Illustrateur;Gallimard jeunesse-Giboulées (Paris);2017;Code à barres commercial : EAN 9782070580224;;fre | français | ;"1 vol. (121 p.) : ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb451568679 | ISBN 9791023506587 | ;45156867;monographie;texte imprimé;Pourquoi les lapins ne portent pas de culotte ? / Antonin Louchard;Louchard, Antonin (1954-....). Auteur du texte;;Seuil jeunesse (Paris);2016;Code à barres commercial : EAN 9791023506587;;fre | français | ;"1 vol. (non paginé [52] p.) : ill. en coul. ; 33 cm";
http://catalogue.bnf.fr/ark:/12148/cb45784667x | ISBN 9782226442260 | ;45784667;monographie;texte imprimé;"Petit Renard / Edward van de Vendel ; [illustrations de] Marije Tolman ; traduit du néerlandais par Emmanuèle Sandron";Vendel, Edward van de (1964-....). Auteur du texte;Tolman, Marije (1976-....). Illustrateur | Sandron, Emmanuèle (1966-....). Traducteur | ;Albin Michel jeunesse (Paris);2019;Code à barres commercial : EAN 9782226442260;;fre | français | ;"1 vol. (non paginé [80] p.) : ill. en coul. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb45686037n | ISBN 9782266290913 | ;45686037;monographie;texte imprimé;Nous sommes l'étincelle / Vincent Villeminot;Villeminot, Vincent (1972-....). Auteur du texte;;Pocket jeunesse-PKJ (Paris);2019;Code à barres commercial : EAN 9782266290913;;fre | français | ;"1 vol. (510 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb451543574 | ISBN 9782889083381 | ;45154357;monographie;texte imprimé;"Pitschi : le petit chat qui voulait toujours autre chose / Hans Fischer ; traduction d'Anne-Judith Descombey";Fischer, Hans (1909-1958). Auteur du texte;Descombey, Anne-Judith (1967-....). Traducteur;la Joie de lire (Genève);2016;Code à barres commercial : EAN 9782889083381;;fre | français | ;"1 vol. (non paginé [31] p.) : ill. en coul. ; 23 x 31 cm";
http://catalogue.bnf.fr/ark:/12148/cb39998038n | ISBN 2915569258 | ;39998038;monographie;texte imprimé;La complainte de Mandrin / illustrations d'Olivier Balez;;Balez, Olivier (1972-....). Illustrateur;Rue du monde (Voisins-le-Bretonneux);2005;Code à barres commercial : EAN 9782915569254;;fre | français | ;"1 vol. (non paginé [32] p.) : ill. en noir et en coul., couv. ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb39928978x | ISBN 2910272362 | ;39928978;monographie;texte imprimé;"Contes et légendes de Russie / réunis et présentés par Galina Kabakova ; trad. par Anna Stroeva ; ill. de Susanne Strassmann";;Kabakova, Galina (1960-....). Éditeur scientifique | Stroeva, Anna (1983-....). Traducteur | Strassmann, Susanne (1964-....). Illustrateur | ;Flies France (Paris);2005;Collection : Aux origines du monde | Code à barres commercial : EAN 9782910272364 | ;;fre | français | ;"222 p. : ill., couv. ill. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb392527383 | ISBN 2211076947 | ;39252738;monographie;texte imprimé;"Contes biélorusses : le beau-frère du soleil / choisis, trad. et adaptés par Jule Winter ; ill. de Philippe Dumas";;Winter, Jule. Éditeur scientifique | Dumas, Philippe (1940-....). Illustrateur | ;l'École des loisirs (Paris);2004;Collection : Neuf | Code à barres commercial : EAN 9782211076944 | ;;fre | français | ;"127 p. : ill., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb39263888c | ISBN 2226150323 | ;39263888;monographie;texte imprimé;"La souris de M. Grimaud / écrit par Frank Asch ; ill. par Devin Asch ; trad. de Pascale Jusforgues";Asch, Frank (1946-....). Auteur du texte;Jusforgues, Pascale. Traducteur | Asch, Devin (1979-....). Illustrateur | ;A. Michel jeunesse (Paris);2004;Code à barres commercial : EAN 9782226150325;Chat (album) -- Souris;fre | français | ;"Non paginé [31] p. : ill. en coul., couv. ill. en coul. ; 29 cm";
